epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,13967.2,0.8823,0.99895,1.25619,0.69882,0.58981,0.63621,0.4927,0.9824,1.27413,1.40142,0.002377,0.002377,0.002377
79,14145.2,0.87453,0.97989,1.24951,0.70314,0.58966,0.63709,0.49377,0.98177,1.27303,1.40119,0.002278,0.002278,0.002278
80,14323.1,0.87894,0.98322,1.25502,0.70706,0.58982,0.63848,0.49488,0.9809,1.27184,1.40045,0.002179,0.002179,0.002179
81,14500.8,0.87259,0.96541,1.24613,0.70948,0.58928,0.63949,0.4955,0.97995,1.26998,1.39976,0.00208,0.00208,0.00208
82,14678.6,0.86541,0.9553,1.24563,0.71389,0.58868,0.64074,0.49648,0.97888,1.26837,1.39889,0.001981,0.001981,0.001981
83,14856.4,0.87098,0.9438,1.24808,0.71882,0.58824,0.64218,0.498,0.97794,1.26722,1.39808,0.001882,0.001882,0.001882
84,15034,0.85588,0.92949,1.24076,0.7198,0.58947,0.64329,0.49908,0.97734,1.26631,1.3977,0.001783,0.001783,0.001783
85,15211.8,0.85209,0.91656,1.23382,0.72802,0.58722,0.64431,0.5001,0.97632,1.26489,1.39724,0.001684,0.001684,0.001684
86,15389.7,0.84687,0.90154,1.23093,0.73169,0.58701,0.64575,0.50123,0.97554,1.26395,1.39703,0.001585,0.001585,0.001585
87,15567.3,0.84115,0.8986,1.22721,0.7335,0.58763,0.64679,0.50215,0.97459,1.26315,1.39619,0.001486,0.001486,0.001486
88,15745,0.8443,0.89354,1.23132,0.73495,0.58819,0.64805,0.50336,0.97393,1.26189,1.39609,0.001387,0.001387,0.001387
89,15922.4,0.84038,0.88072,1.22512,0.73767,0.59013,0.64886,0.50396,0.97311,1.26113,1.39556,0.001288,0.001288,0.001288
90,16100.1,0.83206,0.87088,1.22259,0.73864,0.59228,0.64965,0.50473,0.97211,1.26025,1.39518,0.001189,0.001189,0.001189
91,16292.4,0.73572,0.66194,1.20106,0.73775,0.59306,0.65061,0.50588,0.97074,1.2586,1.39443,0.00109,0.00109,0.00109
92,16468.5,0.72002,0.62825,1.18882,0.73944,0.59391,0.65228,0.50784,0.97006,1.25797,1.39424,0.000991,0.000991,0.000991
93,16644.7,0.70563,0.60914,1.17948,0.74123,0.59501,0.6538,0.50841,0.96898,1.25722,1.39371,0.000892,0.000892,0.000892
94,16821.2,0.70006,0.59239,1.17268,0.74324,0.59497,0.65457,0.50979,0.9682,1.25601,1.3935,0.000793,0.000793,0.000793
95,16997.6,0.69077,0.57785,1.16625,0.74575,0.59625,0.65615,0.51121,0.96745,1.25522,1.39335,0.000694,0.000694,0.000694
96,17174,0.68554,0.56027,1.15807,0.74777,0.59789,0.65754,0.51221,0.96663,1.25519,1.39312,0.000595,0.000595,0.000595
97,17350.3,0.67782,0.55595,1.15301,0.74729,0.59922,0.65859,0.51358,0.96552,1.25428,1.39245,0.000496,0.000496,0.000496
98,17526.6,0.67084,0.53869,1.14863,0.74981,0.60054,0.65946,0.51479,0.96474,1.25429,1.39205,0.000397,0.000397,0.000397
99,17703,0.66791,0.53508,1.14783,0.74892,0.60337,0.66067,0.51574,0.96359,1.25437,1.39158,0.000298,0.000298,0.000298
100,17879.1,0.65989,0.52399,1.14105,0.75201,0.60373,0.66148,0.51684,0.96248,1.25451,1.39109,0.000199,0.000199,0.000199
