epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,24674.6,0.73841,2.42688,1.46993,0.50199,0.42044,0.42886,0.32435,0.85662,3.71278,1.60434,0.004555,0.004555,0.004555
57,25115,0.73516,2.36176,1.4631,0.50689,0.41852,0.43044,0.32561,0.85673,3.71171,1.60415,0.004456,0.004456,0.004456
58,25555.3,0.73124,2.31986,1.45614,0.5151,0.41577,0.43286,0.32728,0.85646,3.7095,1.60366,0.004357,0.004357,0.004357
59,25995.9,0.72919,2.28335,1.45954,0.51792,0.41622,0.43501,0.32868,0.85592,3.70683,1.60315,0.004258,0.004258,0.004258
60,26436.1,0.7213,2.21806,1.44594,0.51117,0.42346,0.4364,0.32988,0.85553,3.70528,1.60285,0.004159,0.004159,0.004159
61,26876.1,0.72057,2.17221,1.44633,0.51399,0.42588,0.43813,0.33113,0.85505,3.70486,1.60235,0.00406,0.00406,0.00406
62,27316.3,0.71628,2.12218,1.43744,0.51401,0.42601,0.43974,0.33254,0.8549,3.70598,1.60215,0.003961,0.003961,0.003961
63,27756.9,0.71258,2.07499,1.43702,0.519,0.4272,0.44137,0.33375,0.85488,3.70527,1.60233,0.003862,0.003862,0.003862
64,28197.4,0.70737,2.03216,1.43123,0.51638,0.42789,0.44307,0.33497,0.85441,3.70354,1.6021,0.003763,0.003763,0.003763
65,28637.8,0.70283,1.98475,1.4244,0.51894,0.42824,0.44471,0.33645,0.85411,3.70294,1.60207,0.003664,0.003664,0.003664
66,29079.1,0.69892,1.93834,1.41934,0.52749,0.42541,0.44615,0.33754,0.8543,3.70255,1.60265,0.003565,0.003565,0.003565
67,29519.4,0.69722,1.89684,1.41841,0.53259,0.42618,0.44783,0.33905,0.85384,3.70267,1.60243,0.003466,0.003466,0.003466
68,29962,0.69278,1.84245,1.4096,0.53829,0.42587,0.44945,0.34039,0.85388,3.70379,1.60287,0.003367,0.003367,0.003367
69,30412,0.68531,1.79653,1.40608,0.54113,0.42564,0.45064,0.3412,0.85355,3.70753,1.60265,0.003268,0.003268,0.003268
70,30854.5,0.68139,1.75664,1.39945,0.53133,0.42764,0.4525,0.34231,0.85373,3.71073,1.60314,0.003169,0.003169,0.003169
71,31303.8,0.67587,1.70997,1.3954,0.53492,0.42589,0.45372,0.34355,0.8538,3.71363,1.60346,0.00307,0.00307,0.00307
72,31751.3,0.67257,1.68118,1.38785,0.53479,0.42814,0.45489,0.34498,0.85363,3.7168,1.6036,0.002971,0.002971,0.002971
73,32191,0.66734,1.64177,1.38309,0.53156,0.4325,0.45674,0.34624,0.85343,3.71909,1.60362,0.002872,0.002872,0.002872
74,32630.4,0.66316,1.60999,1.3767,0.53216,0.43324,0.45804,0.34771,0.85334,3.72415,1.60377,0.002773,0.002773,0.002773
75,33069.7,0.65804,1.56821,1.37249,0.53214,0.43425,0.45946,0.34859,0.85308,3.72818,1.60386,0.002674,0.002674,0.002674
76,33509.2,0.65319,1.53811,1.36731,0.5438,0.4333,0.46131,0.34964,0.85293,3.73394,1.60385,0.002575,0.002575,0.002575
77,33949.2,0.65037,1.50833,1.36552,0.55061,0.42996,0.46259,0.35053,0.85293,3.73837,1.60426,0.002476,0.002476,0.002476
78,34389.4,0.64235,1.45636,1.35246,0.55467,0.43289,0.4636,0.35148,0.85306,3.74488,1.60479,0.002377,0.002377,0.002377
79,34829.4,0.63825,1.438,1.34891,0.55689,0.43245,0.46467,0.35266,0.85263,3.75101,1.60468,0.002278,0.002278,0.002278
80,35268.8,0.63357,1.4063,1.34316,0.5612,0.43253,0.46604,0.35372,0.85263,3.75709,1.60498,0.002179,0.002179,0.002179
81,35708.1,0.62984,1.38421,1.34008,0.56155,0.43553,0.46713,0.35489,0.85229,3.76289,1.60485,0.00208,0.00208,0.00208
